"outcome.variable","index","odds.ratio.q1","q2","q3","q4","trend.p","cont","quad.p"
"34","il17.bin","pf.curemeat.q","1.00","1.36 (0.36, 5.57)","2.12 (0.55, 9.19)","2.96 (0.74, 13.53)","0.12","1.58 (0.97, 2.82)","0.78"
"35","tnf.bin","pf.organ.q","1.00","0.34 (0.12, 0.88)*","NA","NA","0.03*","0.42 (0.16, 0.84)*","0.95"
"36","il17.bin","pf.organ.q","1.00","0.97 (0.32, 2.71)","NA","NA","0.96","0.84 (0.38, 1.35)","0.43"
"37","tnf.bin","pf.poult.q","1.00","2.14 (0.69, 6.94)","1.09 (0.35, 3.52)","1.45 (0.43, 5.02)","0.92","1.27 (0.85, 2.25)","0.36"
"38","il17.bin","pf.poult.q","1.00","1.41 (0.38, 5.64)","1.55 (0.41, 6.31)","1.89 (0.48, 8.10)","0.41","1.61 (0.97, 4.19)","0.85"
"39","tnf.bin","pf.seafd.q","1.00","0.64 (0.21, 1.88)","0.58 (0.19, 1.73)","0.53 (0.17, 1.59)","0.29","0.87 (0.56, 1.32)","0.43"
"40","il17.bin","pf.seafd.q","1.00","0.69 (0.19, 2.43)","0.56 (0.15, 2.02)","1.13 (0.33, 3.98)","0.77","1.20 (0.71, 1.99)","0.43"
"41","tnf.bin","pf.nuts.q","1.00","0.24 (0.07, 0.77)*","0.25 (0.07, 0.79)*","0.09 (0.02, 0.33)**","< 0.01**","0.38 (0.18, 0.70)**","0.90"
"42","il17.bin","pf.nuts.q","1.00","0.48 (0.12, 1.76)","0.58 (0.16, 2.10)","0.13 (0.02, 0.60)*","0.02*","0.37 (0.13, 0.83)*","0.45"
"43","tnf.bin","d.total.q","1.00","0.80 (0.25, 2.49)","0.86 (0.27, 2.74)","2.41 (0.77, 7.89)","0.07","1.42 (0.93, 2.19)","0.99"
"44","il17.bin","d.total.q","1.00","3.82 (0.98, 16.85)","1.79 (0.37, 9.05)","8.76 (2.05, 45.85)**","< 0.01**","1.73 (1.07, 2.86)*","0.23"
"45","tnf.bin","d.yogurt.q","1.00","0.30 (0.11, 0.81)*","0.49 (0.17, 1.40)","NA","0.50","0.90 (0.56, 1.35)","0.18"
"46","il17.bin","d.yogurt.q","1.00","0.26 (0.07, 0.80)*","0.34 (0.09, 1.15)","NA","0.25","0.25 (0.03, 0.78)","0.39"
"47","tnf.bin","d.cheese.q","1.00","0.81 (0.24, 2.68)","0.44 (0.14, 1.34)","0.43 (0.12, 1.42)","0.16","0.71 (0.43, 1.09)","0.75"
"48","il17.bin","d.cheese.q","1.00","0.82 (0.21, 3.08)","0.34 (0.09, 1.24)","0.35 (0.07, 1.45)","0.14","0.52 (0.24, 0.95)","0.73"
"49","tnf.bin","oils.q","1.00","0.96 (0.33, 2.71)","0.61 (0.25, 1.48)","NA","0.26","0.96 (0.62, 1.39)","0.52"
"50","il17.bin","oils.q","1.00","1.35 (0.41, 4.32)","0.95 (0.33, 2.67)","NA","0.79","0.88 (0.45, 1.35)","0.64"
"51","tnf.bin","solid.fats.q","1.00","1.01 (0.33, 3.14)","0.96 (0.29, 3.26)","0.30 (0.08, 1.12)","0.03*","0.55 (0.30, 0.90)*","0.87"
"52","il17.bin","solid.fats.q","1.00","3.06 (0.86, 13.16)","1.24 (0.28, 6.15)","1.32 (0.26, 7.03)","0.68","0.90 (0.49, 1.48)","0.79"
"53","tnf.bin","add.sugars.q","1.00","0.92 (0.19, 4.36)","1.49 (0.32, 7.28)","4.65 (0.83, 29.48)","0.04*","1.96 (1.01, 4.06)","0.69"
"54","il17.bin","add.sugars.q","1.00","0.44 (0.07, 2.42)","1.90 (0.40, 9.99)","1.03 (0.15, 6.91)","0.58","1.04 (0.50, 2.11)","0.24"
"55","tnf.bin","a.drinks.q","1.00","1.45 (0.49, 4.43)","0.98 (0.30, 3.26)","NA","0.75","0.79 (0.46, 1.22)","0.21"
"56","il17.bin","a.drinks.q","1.00","1.88 (0.53, 7.22)","1.01 (0.24, 4.36)","NA","0.67","0.97 (0.57, 1.54)","0.49"
"57","tnf.bin","g.refined.q","1.00","0.40 (0.12, 1.23)","0.71 (0.23, 2.17)","0.61 (0.18, 2.06)","0.80","0.77 (0.46, 1.22)","0.24"
"58","il17.bin","g.refined.q","1.00","0.55 (0.12, 2.30)","3.06 (0.87, 11.79)","1.74 (0.41, 7.61)","0.21","1.14 (0.65, 1.88)","0.12"
"59","tnf.bin","g.whole.q","1.00","0.37 (0.12, 1.10)","0.52 (0.17, 1.53)","0.32 (0.09, 1.08)","0.14","0.64 (0.37, 1.04)","0.66"
"60","il17.bin","g.whole.q","1.00","0.25 (0.06, 0.99)","0.93 (0.27, 3.17)","0.75 (0.19, 2.95)","0.89","0.92 (0.52, 1.52)","0.35"
