"Characteristic","n = 72","n = 73","n = 73","n = 73","n = 73","n = 73","n = 73","n = 73","n = 73","n = 73","n = 52","n = 53"
"35","Never","14 (19.4)","17 (23.3)","15 (20.5)","17 (23.3)","13 (17.8)","19 (26.0)","16 (21.9)","16 (21.9)","16 (21.9)","16 (21.9)","13 (25.0)","12 (22.6)"
"36","Drinking Status","","","","","","","","","","","",""
"37","Current","49 (68.1)","52 (71.2)","51 (69.9)","51 (69.9)","54 (74.0)","48 (65.8)","50 (68.5)","52 (71.2)","47 (64.4)","55 (75.3)","38 (73.1)","39 (73.6)"
"38","Former","20 (27.8)","16 (21.9)","18 (24.7)","18 (24.7)","16 (21.9)","20 (27.4)","18 (24.7)","18 (24.7)","21 (28.8)","15 (20.5)","12 (23.1)","12 (22.6)"
"39","Never","3 (4.2)","5 (6.8)","4 (5.5)","4 (5.5)","3 (4.1)","5 (6.8)","5 (6.8)","3 (4.1)","5 (6.8)","3 (4.1)","2 (3.8)","2 (3.8)"
"3","AHEI Index","48.9 (5.9)","67.9 (7.0)","51.3 (8.5)","65.5 (9.6)","51.3 (8.2)","65.7 (9.7)","57.2 (12.6)","59.7 (10.3)","59.8 (12.2)","57.1 (10.7)","55.1 (12.1)","63.6 (10.9)"
"4","aMED Index","2.9 (1.5)","5.4 (1.7)","2.5 (1.0)","5.8 (1.3)","3 (1.6)","5.3 (1.7)","4 (2.1)","4.2 (1.9)","4.5 (2.1)","3.8 (1.9)","3.6 (1.8)","4.7 (2)"
"5","DASH Index","20.8 (3.3)","27 (3.9)","20.9 (3.0)","27 (4.2)","20.1 (2.4)","27.8 (3.1)","24.6 (5.3)","23.3 (4.0)","25.2 (5.1)","22.7 (4.0)","23.9 (4.9)","24.9 (5)"
"6","Low Carbohydrate Index","14.3 (7.7)","15.5 (6.7)","15.1 (7.9)","14.7 (6.4)","15.9 (7.7)","13.8 (6.5)","9 (3.7)","20.8 (4.4)","9.8 (4.8)","20 (5.4)","12.5 (7.0)","16.3 (7)"
"7","Animal-Based Low Carbohydrate Index","15.8 (8.0)","14.2 (7.2)","16.2 (8.0)","13.7 (7.0)","16.7 (8.0)","13.2 (6.8)","9.3 (4.8)","20.6 (5.4)","8.7 (4.0)","21.2 (4.6)","14.4 (7.7)","13.9 (7.8)"
"8","Plant-Based Low Carbohydrate Index","12.5 (5.9)","17.1 (5.0)","14 (6.4)","15.8 (5.3)","13.9 (6.6)","15.9 (5.1)","12.5 (5.2)","17.6 (5.5)","14.6 (6.3)","15.4 (5.5)","10.3 (4.0)","19.4 (3.6)"
